time,open,high,low,close,volume
2023-02-02 09:15:00,105.71,105.79,105.38,105.45,74578
2023-02-02 09:10:00,105.93,105.94,105.62,105.7,90855
2023-02-02 09:05:00,105.66,105.9,105.61,105.9,40933
2023-02-02 09:00:00,105.62,105.7,105.61,105.7,31035
2023-02-02 08:55:00,105.65,105.71,105.43,105.6112,43960
2023-02-02 08:50:00,105.32,105.8,105.32,105.69,48236
2023-02-02 08:45:00,105.24,105.45,105.2,105.34,27116
2023-02-02 08:40:00,105.22,105.26,105.1,105.17,48683
2023-02-02 08:35:00,105.15,105.4,105.12,105.21,35247
2023-02-02 08:30:00,105.1,105.27,105.05,105.2,16209
2023-02-02 08:25:00,104.96,105.11,104.96,105.1,39154
2023-02-02 08:20:00,104.85,105.09,104.84,104.94,27092
2023-02-02 08:15:00,105.03,105.03,104.84,104.97,43283
2023-02-02 08:10:00,104.96,105.18,104.95,105.09,47975
2023-02-02 08:05:00,104.89,105.3386,104.0,104.95,170041
2023-02-02 08:00:00,105.21,105.25,105.09,105.15,22175
2023-02-02 07:55:00,105.14,105.17,105.01,105.17,13927
2023-02-02 07:50:00,104.97,105.14,104.95,105.01,31872
2023-02-02 07:45:00,104.9,104.95,104.8,104.95,32409
